"","month","year","Site","Depth","N","Temp","sd","se","ci","m.y","season","Method"
"49","5","2016","Rural-N","10m",31,30.2329516129032,0.366708179956913,0.0658627334168503,0.134509646353944,"5/2016","fall","insitu"
"50","5","2016","Rural-N","5m",31,29.9393225806452,0.381135071166533,0.0684538795698616,0.13980147277249,"5/2016","fall","insitu"
"51","5","2016","Urban-E","10m",31,30.4313548387097,0.33376234542831,0.0599454868558164,0.122425016685202,"5/2016","fall","insitu"
"52","5","2016","Urban-E","5m",31,30.2328709677419,0.344366035097877,0.0618499657415172,0.126314481457076,"5/2016","fall","insitu"
"53","5","2016","Urban-W","10m",31,30.5012741935484,0.293582522149783,0.0527289775604942,0.107686938520723,"5/2016","fall","insitu"
"54","5","2016","Urban-W","5m",31,30.1744193548387,0.322202992350428,0.0578693657550293,0.118185011745118,"5/2016","fall","insitu"
"55","5","2017","Rural-N","10m",31,29.4442419354839,0.317358574039097,0.0569992825410786,0.116408064762577,"5/2017","fall","insitu"
"56","5","2017","Rural-N","5m",31,28.6822258064516,0.322417685585786,0.0579079257984089,0.118263761859626,"5/2017","fall","insitu"
"57","5","2017","Urban-E","10m",31,29.4749677419355,0.323112930090082,0.0580327953975853,0.118518779602654,"5/2017","fall","insitu"
"58","5","2017","Urban-E","5m",31,29.1174193548387,0.349880910615174,0.0628404666244413,0.128337354128214,"5/2017","fall","insitu"
"59","5","2017","Urban-W","10m",31,29.6139193548387,0.350363432661338,0.0629271301422773,0.128514344643656,"5/2017","fall","insitu"
"60","5","2017","Urban-W","5m",31,28.9583548387097,0.359805345373217,0.0646229477266047,0.131977666187039,"5/2017","fall","insitu"
"61","6","2016","Rural-N","10m",30,29.2076833333333,0.353717778679589,0.0645797354578103,0.132080389239402,"6/2016","fall","insitu"
"62","6","2016","Rural-N","5m",30,28.9021166666667,0.379488759620309,0.069284851321233,0.141703431672943,"6/2016","fall","insitu"
"63","6","2016","Urban-E","10m",30,29.3523666666667,0.299206246861457,0.0546273369174932,0.111725448734427,"6/2016","fall","insitu"
"64","6","2016","Urban-E","5m",30,29.1641833333333,0.293834239082975,0.0536465469710372,0.10971950806323,"6/2016","fall","insitu"
"65","6","2016","Urban-W","10m",30,29.3991,0.322574166825938,0.058893715879667,0.120451173452436,"6/2016","fall","insitu"
"66","6","2016","Urban-W","5m",30,29.1045333333333,0.326633532215871,0.0596348512107409,0.121966965400381,"6/2016","fall","insitu"
"67","7","2016","Rural-N","10m",31,28.4706612903226,0.230202569747342,0.041345602066811,0.0844389842902397,"7/2016","winter","insitu"
"68","7","2016","Rural-N","5m",31,28.1271774193548,0.235112900127687,0.0422275234378243,0.0862401080148835,"7/2016","winter","insitu"
"69","7","2016","Urban-E","10m",31,28.4982580645161,0.370959383917067,0.0666262721880911,0.136069000555768,"7/2016","winter","insitu"
"70","7","2016","Urban-E","5m",31,28.301564516129,0.3871818208098,0.0695399078658207,0.142019438448091,"7/2016","winter","insitu"
"71","7","2016","Urban-W","10m",31,28.6054838709677,0.344376961189116,0.0618519281254341,0.126318489179698,"7/2016","winter","insitu"
"72","7","2016","Urban-W","5m",31,28.309435483871,0.35193017162347,0.0632085247667681,0.129089029134605,"7/2016","winter","insitu"
"73","8","2016","Rural-N","10m",31,27.9723709677419,0.186099344783995,0.0334244290269143,0.0682617907692628,"8/2016","winter","insitu"
"74","8","2016","Rural-N","5m",31,27.6033548387097,0.202716682159625,0.0364089909251452,0.0743570793281457,"8/2016","winter","insitu"
"75","8","2016","Urban-E","10m",31,27.8912580645161,0.22261311248321,0.0399824953026673,0.0816551488908311,"8/2016","winter","insitu"
"76","8","2016","Urban-E","5m",31,27.6765161290323,0.22362913807876,0.0401649788866231,0.0820278300880711,"8/2016","winter","insitu"
"77","8","2016","Urban-W","10m",31,28.0043387096774,0.245755209747992,0.0441389386714416,0.0901437386990547,"8/2016","winter","insitu"
