YYYY,MM,DD,SST_MIN,SST_MAX,SST@90th_HS,SSTA@90th_HS,90th_HS>0,DHW_from_90th_HS>1,BAA_7day_max
2013,5,29,28.8268,29.3042,29.0676,0.861,0,0,0
2013,5,30,28.5928,29.6466,29.1216,0.6012,0,0,0
2013,5,31,28.4964,29.5233,29.4465,0.7288,0,0,0
2013,6,1,28.4494,29.3474,29.2992,0.5342,0,0,0
2013,6,2,28.5044,29.1707,28.9523,0.5014,0,0,0
2013,6,3,28.3619,29.4155,29.0544,0.953,0,0.146,0
2013,6,4,28.3704,29.0482,28.8076,0.4123,0,0.146,0
2013,6,5,28.1677,29.1298,28.86,0.8226,0,0.146,0
2013,6,6,28.2061,29.1881,28.691,0.3578,0,0.146,0
2013,6,7,27.8707,28.4769,28.3562,-0.0533,0,0.146,0
2013,6,8,28.0998,29.3816,28.9175,1.0176,0,0.146,0
2013,6,9,27.9048,29.1466,28.7245,0.4951,0,0.146,0
2013,6,10,28.0431,28.927,28.8931,0.5192,0,0.146,0
2013,6,11,27.8315,29.1535,28.6967,0.5235,0,0.146,0
2013,6,12,27.8528,29.2513,28.809,0.8868,0,0.146,0
2013,6,13,27.9119,29.2172,28.9107,0.7663,0,0.146,0
2013,6,14,27.5513,29.1123,28.497,0.3788,0,0.146,0
2013,6,15,27.4843,29.1731,28.6706,0.5756,0,0.146,0
2013,6,16,27.5189,29.2365,28.6559,0.5732,0,0.146,0
2013,6,17,27.7119,29.3607,28.7624,0.8465,0,0.146,0
2013,6,18,27.7934,29.0809,28.5616,0.887,0,0.146,0
2013,6,19,27.5765,29.0873,28.5126,0.5521,0,0.146,0
2013,6,20,27.6131,28.7804,28.3388,0.4052,0,0.146,0
2013,6,21,27.2193,28.495,28.1763,0.3927,0,0.146,0
2013,6,22,27.0488,28.9209,28.457,0.3829,0,0.146,0
2013,6,23,27.4115,28.5406,28.4702,0.3992,0,0.146,0
2013,6,24,27.3416,28.8345,28.803,0.7034,0,0.146,0
2013,6,25,27.4723,28.8256,28.1753,0.3987,0,0.146,0
2013,6,26,27.6053,28.7906,28.4105,1.0245,0,0.146,0
2013,6,27,27.4787,29.0078,28.7202,0.7472,0,0.146,0
2013,6,28,27.5362,28.7583,28.2557,0.9421,0,0.146,0
2013,6,29,27.5476,28.9889,28.5737,0.8601,0,0.146,0
2013,6,30,27.1191,28.4613,28.0815,0.4403,0,0.146,0
2013,7,1,27.2532,28.5677,28.3647,0.4866,0,0.146,0
2013,7,2,27.1585,28.6393,28.398,0.5783,0,0.146,0
2013,7,3,27.0151,28.5574,28.0809,0.4376,0,0.146,0
2013,7,4,27.0989,28.3886,28.0676,0.3968,0,0.146,0
2013,7,5,27.0812,28.3661,27.9865,0.6416,0,0.146,0
2013,7,6,27.3169,28.3254,27.9659,0.8961,0,0.146,0
2013,7,7,26.9952,28.2872,27.7811,0.2685,0,0.146,0
2013,7,8,26.8562,27.9326,27.5004,0.2104,0,0.146,0
2013,7,9,27.3153,28.2243,27.8177,0.573,0,0.146,0
2013,7,10,27.0829,28.8304,28.3217,1.0879,0,0.146,0
2013,7,11,26.9022,28.4888,28.2045,0.6672,0,0.146,0
2013,7,12,26.9598,27.9143,27.5605,0.2779,0,0.146,0
2013,7,13,27.1204,28.488,27.8823,0.5661,0,0.146,0
2013,7,14,27.192,28.361,28.0433,1.0312,0,0.146,0
2013,7,15,27.2286,28.7815,28.2723,1.0754,0,0.146,0
2013,7,16,27.1033,28.6514,28.1791,1.171,0,0,0
2013,7,17,26.9742,27.7943,27.5933,0.9921,0,0,0
2013,7,18,27.0775,28.3598,27.7659,0.7889,0,0,0
2013,7,19,26.8408,28.3545,27.7788,0.7223,0,0,0
2013,7,20,27.311,28.4182,28.1419,0.8841,0,0,0
2013,7,21,27.3943,28.3491,28.0927,0.8137,0,0,0
2013,7,22,27.1625,27.9237,27.6069,0.5445,0,0,0
2013,7,23,26.684,28.373,27.9264,0.9855,0,0,0
2013,7,24,26.8223,28.0271,27.6685,0.4756,0,0,0
2013,7,25,26.5141,28.0802,27.5244,0.4546,0,0,0
2013,7,26,26.4742,27.8937,27.5997,0.8536,0,0,0
2013,7,27,26.2333,27.6461,27.2923,0.632,0,0,0
2013,7,28,26.6137,27.6878,27.3916,0.4565,0,0,0
2013,7,29,26.4354,27.7989,27.6092,0.2423,0,0,0
2013,7,30,26.4732,27.9266,27.6377,0.2807,0,0,0
2013,7,31,26.4631,27.9286,27.7135,0.4976,0,0,0
2013,8,1,26.2152,27.7573,27.6905,0.9585,0,0,0
2013,8,2,26.3708,27.5672,27.3754,0.3213,0,0,0
2013,8,3,26.5795,28.4002,28.0608,0.8786,0,0,0
2013,8,4,26.567,28.3218,27.8267,1.1835,0,0,0
2013,8,5,26.2443,27.8514,27.387,0.5225,0,0,0
2013,8,6,26.3131,27.7516,27.3941,0.4774,0,0,0
2013,8,7,26.3228,27.7867,27.3658,0.547,0,0,0
2013,8,8,26.176,27.4016,26.9818,0.2785,0,0,0
2013,8,9,26.0428,27.2675,26.8123,0.0346,0,0,0
2013,8,10,25.9084,27.3595,26.9845,-0.1385,0,0,0
2013,8,11,25.5025,27.5341,27.0405,0.2018,0,0,0
2013,8,12,26.0885,28.1646,27.3917,0.5991,0,0,0
