"Year","Site","Depth","Transect","num_id","ACA","ACR","ACRtab","ALV","AST","COE","COS","CTE","CYP","DIP","EPHY","EPOR","EUP","FAV","Favia","FUN","GAL","GAR","GONIAS","GONIO","HAL","HEL","HYD","ISO","LEPTA","LEPTO","Leptoria","LIT","LOB","MER","MON","MONTI","MONTIbr","MYC","OUL","OXY","PAC","PAV","PEC","PLA","PLE","POC","POL","PORbr","PORmass","PORother","PSA","SAN","SER","STY","SYM","TUB","TUR","CAUL","HERPO","ACRbr"
"2015","Rural-N","10m",1,1,0,0,31,4,1,0,10,1,0,1,0,7,1,0,4,7,12,0,7,4,0,3,2,1,1,1,0,0,2,4,4,34,0,1,0,0,2,0,4,2,1,10,0,4,10,0,1,1,0,3,3,0,0,0,0,14
"2015","Rural-N","10m",2,2,0,0,12,1,0,0,7,1,2,1,3,6,1,0,2,1,30,1,9,9,0,3,0,0,1,0,0,0,2,0,0,51,0,3,0,0,0,9,6,6,1,5,0,20,6,1,1,1,9,3,0,0,2,0,0,9
"2015","Rural-N","10m",3,3,0,0,10,0,1,0,13,3,5,0,1,7,1,3,1,25,19,0,6,4,0,0,3,0,1,1,0,0,5,6,4,42,0,4,0,0,2,2,2,10,0,10,0,11,9,0,0,3,12,1,0,0,0,0,0,20
"2015","Rural-N","5m",1,4,0,0,31,0,0,0,10,1,0,1,1,4,0,2,4,4,15,1,8,2,0,0,3,2,4,3,0,0,3,4,2,22,0,3,0,0,0,5,1,7,3,25,0,13,22,0,1,0,3,4,2,0,0,0,0,9
"2015","Rural-N","5m",2,5,0,0,28,0,0,0,2,1,2,0,1,7,5,1,3,12,8,0,4,3,0,0,2,0,1,0,0,0,1,0,0,43,0,2,0,0,0,3,0,4,0,12,0,42,4,0,0,1,7,2,0,0,0,0,0,23
"2015","Rural-N","5m",3,6,0,1,31,0,1,0,11,8,6,0,1,4,3,9,3,29,18,1,16,3,0,0,3,0,1,0,1,0,6,3,5,30,0,3,0,0,0,4,0,11,1,18,0,25,20,0,3,0,11,1,2,0,0,0,0,14
"2015","Urban-E","10m",1,7,0,0,2,0,0,0,2,2,2,3,0,2,1,3,2,13,12,0,5,0,0,0,2,0,0,0,0,0,0,1,31,0,0,1,1,0,8,3,1,5,0,2,0,26,11,1,1,0,0,0,1,0,0,0,0,3
"2015","Urban-E","10m",2,8,0,0,6,2,0,1,1,1,2,0,2,1,1,1,2,26,0,0,6,0,0,0,8,0,2,0,0,0,2,1,15,0,0,3,0,0,7,4,1,7,0,3,0,24,17,4,0,1,0,1,0,0,0,0,0,3
"2015","Urban-E","10m",3,9,0,0,3,0,0,0,1,5,0,0,3,0,1,0,1,48,7,1,4,0,1,0,3,0,0,0,0,0,2,4,0,40,0,5,0,3,5,3,0,2,0,0,0,33,5,5,1,1,0,1,0,0,0,0,0,0
"2015","Urban-E","5m",1,10,0,6,0,0,0,3,1,0,3,2,1,2,2,7,4,6,5,0,9,0,0,0,11,0,0,0,0,0,1,2,19,0,0,2,0,1,1,5,1,11,0,6,0,17,21,1,3,1,0,0,0,0,0,0,0,0
"2015","Urban-E","5m",2,11,0,0,5,0,0,4,3,6,3,1,1,6,0,9,10,35,9,1,19,0,0,0,6,0,0,0,0,0,2,4,5,12,0,0,1,0,3,7,1,20,0,8,2,26,19,0,1,0,0,4,3,0,0,0,0,2
"2015","Urban-E","5m",3,12,0,0,5,0,0,0,1,7,2,0,1,3,0,0,0,67,35,2,8,0,3,0,3,0,0,0,2,0,2,2,0,23,22,3,0,0,1,8,3,4,0,10,0,23,0,3,0,1,0,1,0,0,0,0,0,3
"2015","Urban-W","10m",1,13,0,0,2,0,0,0,4,5,1,2,0,0,1,4,3,125,2,0,1,0,0,0,0,0,0,0,0,1,0,0,3,9,0,12,0,0,5,2,0,2,0,5,0,69,2,0,0,1,0,0,0,0,1,0,0,3
"2015","Urban-W","10m",2,14,0,0,1,0,0,0,0,5,0,0,0,1,0,2,0,51,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,1,0,2,0,0,46,17,0,0,0,0,0,0,0,0,0,0,1
"2015","Urban-W","10m",3,15,0,0,2,1,0,0,0,4,0,0,0,4,1,0,0,32,0,1,0,0,0,0,0,2,0,0,0,0,0,0,5,3,0,17,0,0,7,0,0,2,0,6,0,78,6,0,0,0,0,0,1,0,1,0,0,8
"2015","Urban-W","5m",1,16,1,2,3,0,0,0,1,0,0,1,4,0,1,7,3,2,2,0,10,0,0,0,3,3,0,0,1,0,2,4,8,14,0,1,0,0,0,0,2,12,1,11,0,2,21,0,0,1,0,0,0,0,1,0,0,7
"2015","Urban-W","5m",2,17,0,0,3,0,0,0,0,0,2,1,4,3,2,6,1,5,4,0,2,1,0,1,3,3,3,0,1,1,0,0,6,14,0,0,0,0,1,1,0,16,0,10,0,1,22,0,0,1,0,0,4,0,1,0,0,2
"2015","Urban-W","5m",3,18,0,0,1,0,0,0,3,0,0,2,0,1,0,6,4,0,8,0,3,0,0,0,5,0,0,0,0,0,1,1,3,8,0,0,0,0,0,0,1,6,0,18,1,2,11,0,4,0,0,0,1,0,0,0,0,4
"2015","Rural-E","10m",1,19,0,0,2,0,0,0,1,4,1,0,2,1,1,0,3,50,2,0,0,0,0,0,1,0,0,0,0,0,2,0,0,9,0,2,0,0,8,0,4,1,1,5,1,0,5,0,0,0,18,0,0,1,0,0,0,2
"2015","Rural-E","10m",2,20,0,0,1,0,0,0,2,3,2,0,2,0,5,2,0,41,6,0,0,1,0,0,3,0,0,2,0,0,5,1,1,16,0,2,0,0,5,3,0,11,0,2,1,0,7,0,0,0,24,5,0,0,3,0,0,1
"2015","Rural-E","10m",3,21,0,0,9,0,0,0,0,2,0,1,6,0,5,1,3,29,9,0,1,4,0,0,10,0,0,0,1,0,14,1,3,14,0,1,0,0,7,2,9,14,3,5,0,2,7,0,2,1,44,3,1,0,0,0,0,3
"2015","Rural-E","5m",1,22,0,2,2,0,0,0,2,0,5,2,1,1,4,4,0,10,3,0,9,0,0,0,1,0,2,0,0,0,3,2,6,11,0,2,0,0,1,4,1,17,0,6,0,7,26,1,3,0,15,1,0,0,0,0,0,2
"2015","Rural-E","5m",2,23,0,0,1,0,0,1,1,0,2,1,1,2,0,10,2,4,10,0,6,1,0,0,6,3,0,0,0,0,4,1,13,22,1,0,0,0,1,1,0,16,1,10,1,7,19,0,4,0,0,0,0,0,1,0,0,4
"2015","Rural-E","5m",3,24,0,0,5,0,0,2,2,1,4,0,3,2,0,8,2,14,8,1,8,0,0,0,3,0,0,0,1,0,4,1,3,16,0,1,0,0,1,0,3,18,2,19,1,4,47,17,2,0,9,5,1,0,0,0,0,10
"2017","Rural-N","5m",1,4,0,2,3,5,0,1,0,1,2,0,0,10,7,6,0,43,10,0,6,3,0,1,14,0,2,0,0,0,2,5,1,19,15,1,0,0,0,3,1,7,0,8,0,37,12,0,1,1,24,4,0,0,0,0,0,28
"2017","Rural-N","5m",3,6,0,0,16,0,0,0,0,7,5,0,0,7,3,14,6,54,13,0,9,10,1,0,11,3,0,1,0,0,6,2,1,28,2,0,0,0,3,13,1,18,0,15,0,36,12,0,1,3,4,2,0,0,0,0,1,20
"2017","Rural-N","5m",2,5,0,0,8,0,0,0,0,8,6,1,1,3,3,6,1,118,12,1,8,4,0,0,4,0,0,1,0,0,4,2,2,25,11,4,1,0,4,6,2,19,0,16,0,29,15,0,1,2,21,5,2,0,3,0,4,18
"2017","Rural-N","10m",1,1,0,0,20,0,0,0,0,1,2,0,4,7,3,2,3,58,10,0,1,9,2,1,3,0,0,0,0,0,2,2,0,27,21,0,0,0,0,4,4,3,0,7,0,10,6,0,0,1,9,7,0,0,0,0,3,19
"2017","Rural-N","10m",2,2,0,0,9,1,0,0,0,2,2,2,3,10,2,2,3,58,16,1,2,5,1,0,10,1,0,1,1,0,3,3,8,3,24,3,1,1,4,6,3,6,0,2,0,6,10,0,0,0,10,3,0,0,1,1,4,25
"2017","Rural-N","10m",3,3,0,0,21,2,0,1,0,2,12,4,2,2,7,3,3,54,12,0,7,5,1,0,7,2,0,1,0,0,6,5,1,35,20,8,1,0,1,8,2,8,0,6,0,19,12,0,1,3,18,3,0,0,1,0,1,15
"2017","Urban-E","5m",2,11,1,0,6,0,0,1,0,0,5,3,1,4,2,8,3,6,10,3,14,0,0,0,17,0,3,1,0,0,4,4,4,11,1,6,0,0,0,5,1,14,0,13,0,5,33,0,2,0,0,0,2,0,0,0,1,4
"2017","Urban-E","5m",1,10,1,0,2,0,0,1,0,0,10,1,0,0,1,6,10,6,7,0,10,3,0,0,8,0,0,3,1,0,4,6,5,9,0,3,1,1,1,5,2,29,0,8,0,6,26,0,3,2,0,0,2,0,0,0,0,1
"2017","Urban-E","5m",3,12,0,0,3,0,0,0,0,3,2,0,0,4,0,2,2,77,0,0,7,5,0,0,0,0,2,0,1,0,0,0,1,14,23,0,0,0,0,0,0,8,0,2,0,12,6,0,0,0,0,0,0,0,0,0,0,2
"2017","Urban-E","10m",1,7,0,0,0,0,0,0,0,0,3,4,2,2,1,3,4,4,16,0,7,1,0,0,15,0,1,1,1,0,1,2,4,11,7,3,1,1,5,3,4,11,0,7,0,3,16,0,0,0,0,0,0,0,0,0,0,3
"2017","Urban-E","10m",2,8,0,0,3,0,0,0,0,1,3,1,2,2,2,2,0,14,10,1,4,0,0,0,14,0,0,3,0,0,2,6,0,16,12,6,0,2,14,2,5,6,0,6,0,0,15,0,3,1,0,0,1,0,0,0,0,4
"2017","Urban-E","10m",3,9,0,0,4,0,0,0,1,2,1,0,5,1,2,0,2,37,9,0,3,2,1,0,1,9,0,1,0,0,3,2,2,31,16,9,0,1,6,5,4,6,0,3,0,3,7,0,1,2,0,1,0,0,0,0,2,2
"2017","Urban-W","5m",1,16,0,0,1,0,0,0,1,0,5,3,0,3,0,6,7,8,6,0,1,1,2,0,6,0,0,0,1,0,1,0,1,9,0,2,0,0,2,0,2,5,0,3,1,0,24,0,0,1,0,0,1,0,2,0,0,7
"2017","Urban-W","5m",3,18,0,0,3,0,0,0,3,0,1,2,0,3,0,2,6,0,4,0,3,0,0,0,5,0,0,0,1,0,0,2,2,10,0,1,0,0,0,0,0,10,0,7,1,0,21,0,0,0,0,0,0,0,0,0,0,4
"2017","Urban-W","5m",2,17,0,0,0,0,0,0,1,0,1,3,1,4,0,1,4,3,11,0,1,2,0,1,4,1,0,0,0,0,1,3,2,5,0,3,0,0,1,0,1,18,0,10,1,0,34,0,0,0,0,0,1,0,1,0,0,8
"2017","Urban-W","10m",2,14,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,115,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,40,1,0,0,1,0,0,0,0,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0
"2017","Urban-W","10m",3,15,0,0,0,0,0,0,3,3,0,0,2,1,0,2,5,65,2,0,0,0,2,0,5,0,0,2,0,0,3,2,0,1,0,3,0,1,6,3,1,4,0,5,2,0,18,0,0,1,0,2,0,0,0,0,0,17
"2017","Urban-W","10m",1,13,0,0,0,0,0,0,2,4,2,0,0,5,0,1,0,8,0,0,0,0,1,1,0,0,0,2,0,0,3,0,0,0,51,0,0,0,9,1,1,6,0,0,0,1,6,0,0,1,0,0,0,0,0,0,0,5
"2017","Rural-E","5m",3,24,0,0,0,0,1,0,0,0,0,0,1,5,2,13,11,24,4,0,1,0,0,0,11,2,2,0,1,0,5,8,3,40,1,1,1,0,0,2,3,24,0,6,0,15,38,0,0,2,1,5,0,0,0,0,0,6
"2017","Rural-E","5m",1,22,0,0,1,0,0,0,5,2,1,2,1,3,1,8,6,2,9,1,2,1,0,0,1,0,4,1,0,0,7,3,3,18,0,0,4,0,2,3,1,23,0,5,0,5,35,0,0,1,4,2,0,0,0,0,1,7
"2017","Rural-E","5m",2,23,0,0,2,0,0,0,0,0,2,2,1,3,0,11,6,0,8,0,4,3,0,0,7,1,3,0,2,0,6,5,1,23,0,2,1,0,2,8,1,16,0,11,1,5,44,0,2,0,3,3,1,0,0,0,0,5
"2017","Rural-E","10m",3,21,0,0,6,0,0,0,1,3,3,1,2,1,0,5,9,102,9,0,6,1,4,1,3,0,0,2,0,0,46,2,0,24,0,11,2,0,4,2,7,5,0,11,0,1,5,0,0,1,31,3,2,0,0,0,1,3
"2017","Rural-E","10m",2,20,0,0,0,0,0,0,0,1,0,0,2,4,9,0,0,24,6,0,2,0,0,0,2,0,1,4,0,0,6,2,2,18,0,4,0,1,5,4,6,6,0,7,1,0,5,0,1,5,26,2,2,0,1,0,1,3
"2017","Rural-E","10m",1,19,0,0,1,0,0,0,1,2,1,0,1,1,7,1,3,47,6,0,2,3,0,2,4,0,1,0,0,0,2,2,0,13,0,1,1,3,3,2,4,1,0,5,0,0,5,0,1,1,15,0,0,0,0,0,0,2
