"","Pop","Site2","Site","Depth","Major.Category","ave","sd$sd","se","upper","lower"
"1","Rural","Rural-E","Manatuto","10m","pCCA",3.47216288997111,3.27032477655569,1.88812289008193,5.36028578005304,1.58403999988918
"2","Rural","Rural-E","Manatuto","10m","pCoral",22.0992066882478,10.0726691172038,5.81545822627567,27.9146649145234,16.2837484619721
"3","Rural","Rural-E","Manatuto","10m","pInv",6.37473616925671,1.89287190065872,1.09285010138679,7.4675862706435,5.28188606786992
"4","Rural","Rural-E","Manatuto","10m","pMA",5.82104760186952,2.58034850578809,1.4897649044198,7.31081250628933,4.33128269744972
"5","Rural","Rural-E","Manatuto","10m","pSoft",24.5180639016255,4.24293152933324,2.44965766061369,26.9677215622392,22.0684062410118
"6","Rural","Rural-E","Manatuto","10m","pSubSa",30.8032479265356,0.403189916338853,0.23278180673278,31.0360297332684,30.5704661198028
"7","Rural","Rural-E","Manatuto","10m","pTurCy",6.91153482249374,11.0689972577964,6.39068854644799,13.3022233689417,0.520846276045747
"8","Rural","Rural-E","Manatuto","5m","pCCA",4.64810384547227,3.59672816414847,2.07657197377303,6.7246758192453,2.57153187169924
"9","Rural","Rural-E","Manatuto","5m","pCoral",20.1677742335637,3.00723823069132,1.73622980200696,21.9040040355707,18.4315444315568
"10","Rural","Rural-E","Manatuto","5m","pInv",11.4668172957647,1.69639827417495,0.979416000247725,12.4462332960124,10.4874012955169
"11","Rural","Rural-E","Manatuto","5m","pMA",3.87651367475929,2.02579041820921,1.16959064327485,5.04610431803414,2.70692303148444
"12","Rural","Rural-E","Manatuto","5m","pSoft",13.6471291866029,8.67271864136036,5.00719644219529,18.6543256287982,8.63993274440758
"13","Rural","Rural-E","Manatuto","5m","pSubSa",24.6012463819481,4.13528452738629,2.38750763506217,26.9887540170103,22.213738746886
"14","Rural","Rural-E","Manatuto","5m","pTurCy",21.5924153818891,1.51706151814091,0.875875875875877,22.468291257765,20.7165395060132
