Sample ID,Site2,Site,Depth,Transect,Rep,Location,Nutrient [uM],Concentration
CK 007,Urban-W,DiliRock,5m,7,A,M,NO3,0.890119824
CK 008,Urban-W,DiliRock,5m,8,A,M,NO3,0.528191167
CK 009,Urban-W,DiliRock,5m,9,A,M,NO3,0.57421481
CK 010,Urban-W,DiliRock,10m,10,A,M,NO3,0.715946355
CK 011,Urban-W,DiliRock,10m,11,A,M,NO3,0.501364807
CK 012,Urban-W,DiliRock,10m,12,A,M,NO3,0.282881648
CK 013,Urban-E,ChristoRei,5m,13,A,M,NO3,1.089827704
CK 014,Urban-E,ChristoRei,5m,14,A,M,NO3,0.714121868
CK 015,Urban-E,ChristoRei,5m,15,A,M,NO3,0.507380913
CK 016,Urban-E,ChristoRei,10m,16,A,M,NO3,1.049261781
CK 017,Urban-E,ChristoRei,10m,17,A,M,NO3,0.519221952
CK 018,Urban-E,ChristoRei,10m,18,A,M,NO3,0.461179565
CK 019,Rural-E,Manatuto,5m,19,A,M,NO3,0.800186579
CK 020,Rural-E,Manatuto,5m,20,A,M,NO3,0.545235498
CK 021,Rural-E,Manatuto,5m,21,A,M,NO3,1.515312243
CK 022,Rural-E,Manatuto,10m,22,A,M,NO3,0.54973043
CK 023,Rural-E,Manatuto,10m,23,A,M,NO3,0.741147683
CK 024,Rural-E,Manatuto,10m,24,A,M,NO3,0.688882796
CK 030,Rural-N,Beloi,5m,1,B,C,PO4,0.153587933
CK 031,Rural-N,Beloi,5m,2,B,C,PO4,0.087930886
CK 032,Rural-N,Beloi,5m,3,B,C,PO4,0.093445834
CK 033,Rural-N,Beloi,10m,4,B,C,PO4,0.194581015
CK 034,Rural-N,Beloi,10m,5,B,C,PO4,0.117893179
CK 035,Rural-N,Beloi,10m,6,B,C,PO4,0.155731619
CK 036,Urban-W,DiliRock,5m,7,B,M,PO4,0.109103561
CK 037,Urban-W,DiliRock,5m,8,B,M,PO4,0.088039093
CK 038,Urban-W,DiliRock,5m,9,B,M,PO4,0.089221029
CK 039,Urban-W,DiliRock,10m,10,B,M,PO4,0.112622015
CK 040,Urban-W,DiliRock,10m,11,B,M,PO4,0.08640959
CK 041,Urban-W,DiliRock,10m,12,B,M,PO4,0.073296419
CK 042,Urban-E,ChristoRei,5m,13,B,M,PO4,0.178149872
CK 043,Urban-E,ChristoRei,5m,14,B,M,PO4,0.110006596
CK 044,Urban-E,ChristoRei,5m,15,B,M,PO4,0.115429305
CK 045,Urban-E,ChristoRei,10m,16,B,M,PO4,0.107791182
CK 046,Urban-E,ChristoRei,10m,17,B,M,PO4,0.076788799
CK 047,Urban-E,ChristoRei,10m,18,B,M,PO4,0.092230271
CK 048,Rural-E,Manatuto,5m,19,B,M,PO4,
CK 049,Rural-E,Manatuto,5m,20,B,M,PO4,0.091586078
CK 050,Rural-E,Manatuto,5m,21,B,M,PO4,0.150054979
CK 051,Rural-E,Manatuto,10m,22,B,M,PO4,0.12423725
CK 052,Rural-E,Manatuto,10m,23,B,M,PO4,0.105407146
CK 053,Rural-E,Manatuto,10m,24,B,M,PO4,0.11384175
CK 030,Rural-N,Beloi,5m,1,B,C,NH4,4.968391161
CK 031,Rural-N,Beloi,5m,2,B,C,NH4,1.378556528
CK 032,Rural-N,Beloi,5m,3,B,C,NH4,3.195351758
CK 033,Rural-N,Beloi,10m,4,B,C,NH4,6.781721194
CK 034,Rural-N,Beloi,10m,5,B,C,NH4,3.520737335
CK 035,Rural-N,Beloi,10m,6,B,C,NH4,2.340921373
CK 036,Urban-W,DiliRock,5m,7,B,M,NH4,1.234714396
CK 037,Urban-W,DiliRock,5m,8,B,M,NH4,1.530236993
CK 038,Urban-W,DiliRock,5m,9,B,M,NH4,1.219555359
CK 039,Urban-W,DiliRock,10m,10,B,M,NH4,1.390725144
CK 040,Urban-W,DiliRock,10m,11,B,M,NH4,1.432440784
CK 041,Urban-W,DiliRock,10m,12,B,M,NH4,0.909471903
CK 042,Urban-E,ChristoRei,5m,13,B,M,NH4,6.734115717
CK 043,Urban-E,ChristoRei,5m,14,B,M,NH4,1.971947141
CK 044,Urban-E,ChristoRei,5m,15,B,M,NH4,1.270898687
CK 045,Urban-E,ChristoRei,10m,16,B,M,NH4,0.963932395
CK 046,Urban-E,ChristoRei,10m,17,B,M,NH4,0.985810442
CK 047,Urban-E,ChristoRei,10m,18,B,M,NH4,1.127911187
CK 048,Rural-E,Manatuto,5m,19,B,M,NH4,
CK 049,Rural-E,Manatuto,5m,20,B,M,NH4,0.723213798
CK 050,Rural-E,Manatuto,5m,21,B,M,NH4,0.723576848
CK 051,Rural-E,Manatuto,10m,22,B,M,NH4,0.786604797
CK 052,Rural-E,Manatuto,10m,23,B,M,NH4,0.730903625
CK 053,Rural-E,Manatuto,10m,24,B,M,NH4,3.334464111
CK 030,Rural-N,Beloi,5m,1,B,C,NO2,0.058701348
CK 031,Rural-N,Beloi,5m,2,B,C,NO2,0
CK 032,Rural-N,Beloi,5m,3,B,C,NO2,0
CK 033,Rural-N,Beloi,10m,4,B,C,NO2,0.053451003
CK 034,Rural-N,Beloi,10m,5,B,C,NO2,0
CK 035,Rural-N,Beloi,10m,6,B,C,NO2,0
CK 036,Urban-W,DiliRock,5m,7,B,M,NO2,0
CK 037,Urban-W,DiliRock,5m,8,B,M,NO2,0
CK 038,Urban-W,DiliRock,5m,9,B,M,NO2,0
CK 039,Urban-W,DiliRock,10m,10,B,M,NO2,0
CK 040,Urban-W,DiliRock,10m,11,B,M,NO2,0
CK 041,Urban-W,DiliRock,10m,12,B,M,NO2,0
CK 042,Urban-E,ChristoRei,5m,13,B,M,NO2,0.003934345
CK 043,Urban-E,ChristoRei,5m,14,B,M,NO2,0
CK 044,Urban-E,ChristoRei,5m,15,B,M,NO2,0
CK 045,Urban-E,ChristoRei,10m,16,B,M,NO2,0
CK 046,Urban-E,ChristoRei,10m,17,B,M,NO2,0
CK 047,Urban-E,ChristoRei,10m,18,B,M,NO2,0
CK 048,Rural-E,Manatuto,5m,19,B,M,NO2,
CK 049,Rural-E,Manatuto,5m,20,B,M,NO2,0
CK 050,Rural-E,Manatuto,5m,21,B,M,NO2,0
CK 051,Rural-E,Manatuto,10m,22,B,M,NO2,0
CK 052,Rural-E,Manatuto,10m,23,B,M,NO2,0
CK 053,Rural-E,Manatuto,10m,24,B,M,NO2,0
CK 030,Rural-N,Beloi,5m,1,B,C,NO3,0.578945832
CK 031,Rural-N,Beloi,5m,2,B,C,NO3,0.291338846
CK 032,Rural-N,Beloi,5m,3,B,C,NO3,0.51563251
CK 033,Rural-N,Beloi,10m,4,B,C,NO3,1.130157125
CK 034,Rural-N,Beloi,10m,5,B,C,NO3,0.834544015
CK 035,Rural-N,Beloi,10m,6,B,C,NO3,1.030994885
CK 036,Urban-W,DiliRock,5m,7,B,M,NO3,0.367897449
CK 037,Urban-W,DiliRock,5m,8,B,M,NO3,0.280831713
CK 038,Urban-W,DiliRock,5m,9,B,M,NO3,0.364089981
CK 039,Urban-W,DiliRock,10m,10,B,M,NO3,0.340475704
CK 040,Urban-W,DiliRock,10m,11,B,M,NO3,0.347474522
CK 041,Urban-W,DiliRock,10m,12,B,M,NO3,0.133101196
CK 042,Urban-E,ChristoRei,5m,13,B,M,NO3,0.879293902
CK 043,Urban-E,ChristoRei,5m,14,B,M,NO3,0.572213891
CK 044,Urban-E,ChristoRei,5m,15,B,M,NO3,0.700679857
CK 045,Urban-E,ChristoRei,10m,16,B,M,NO3,0.46273193
CK 046,Urban-E,ChristoRei,10m,17,B,M,NO3,0.104959933
CK 047,Urban-E,ChristoRei,10m,18,B,M,NO3,0.263196431
CK 048,Rural-E,Manatuto,5m,19,B,M,NO3,
CK 049,Rural-E,Manatuto,5m,20,B,M,NO3,0.38257296
CK 050,Rural-E,Manatuto,5m,21,B,M,NO3,1.431802136
CK 051,Rural-E,Manatuto,10m,22,B,M,NO3,0.378299607
CK 052,Rural-E,Manatuto,10m,23,B,M,NO3,0.615451476
CK 053,Rural-E,Manatuto,10m,24,B,M,NO3,0.615707202
CK 060,Rural-N,Beloi,5m,1,C,C,PO4,0.146481257
CK 061,Rural-N,Beloi,5m,2,C,C,PO4,0.080168844
CK 062,Rural-N,Beloi,5m,3,C,C,PO4,0.097373043
CK 063,Rural-N,Beloi,10m,4,C,C,PO4,0.161416277
CK 064,Rural-N,Beloi,10m,5,C,C,PO4,0.134238605
CK 065,Rural-N,Beloi,10m,6,C,C,PO4,0.112493081
CK 066,Urban-W,DiliRock,5m,7,C,M,PO4,0.120682472
CK 067,Urban-W,DiliRock,5m,8,C,M,PO4,0.104673283
CK 068,Urban-W,DiliRock,5m,9,C,M,PO4,0.080790347
CK 069,Urban-W,DiliRock,10m,10,C,M,PO4,0.159495088
CK 070,Urban-W,DiliRock,10m,11,C,M,PO4,0.071742011
CK 071,Urban-W,DiliRock,10m,12,C,M,PO4,0.08417023
CK 072,Urban-E,ChristoRei,5m,13,C,M,PO4,0.11901311
CK 073,Urban-E,ChristoRei,5m,14,C,M,PO4,0.137211026
CK 074,Urban-E,ChristoRei,5m,15,C,M,PO4,0.109670028
CK 075,Urban-E,ChristoRei,10m,16,C,M,PO4,0.13211571
