num_id,long_id
1,Rural-E_10m_1
2,Rural-E_10m_2
3,Rural-E_10m_3
4,Rural-E_5m_1
5,Rural-E_5m_2
6,Rural-E_5m_3
7,Rural-N_10m_1
8,Rural-N_10m_2
9,Rural-N_10m_3
10,Rural-N_5m_1
11,Rural-N_5m_2
12,Rural-N_5m_3
13,Urban-E_10m_1
14,Urban-E_10m_2
15,Urban-E_10m_3
16,Urban-E_5m_1
17,Urban-E_5m_2
18,Urban-E_5m_3
19,Urban-W_10m_1
20,Urban-W_10m_2
21,Urban-W_10m_3
22,Urban-W_5m_1
23,Urban-W_5m_2
24,Urban-W_5m_3
